iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,,,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
ITA,Europe,Italy,1/31/2020,2,2,,,,,0.033,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
ITA,Europe,Italy,2/1/2020,2,0,,,,,0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
ITA,Europe,Italy,2/2/2020,2,0,,,,,0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,-6.5
ITA,Europe,Italy,2/3/2020,2,0,,,,,0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
ITA,Europe,Italy,2/4/2020,2,0,,,,,0.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
ITA,Europe,Italy,2/5/2020,2,0,0.286,,,0,0.033,0,0.005,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
ITA,Europe,Italy,2/6/2020,2,0,0.286,,,0,0.033,0,0.005,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
ITA,Europe,Italy,2/7/2020,3,1,0.143,,,0,0.05,0.017,0.002,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
ITA,Europe,Italy,2/8/2020,3,0,0.143,,,0,0.05,0,0.002,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
ITA,Europe,Italy,2/9/2020,3,0,0.143,,,0,0.05,0,0.002,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,-5.94
