iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,,death rate,recover rate,infection rate
GBR,Europe,United Kingdom,1/31/2020,2,2,,,,,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,1/31/2020,-0.423797297,-0.743418919,-1.063040541,-1.382662162,-1.702283784,-2.021905405,-2.341527027,-2.661148649,,,,,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/1/2020,2,0,,,,,0.029,0,,,,,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/1/2020,-0.335283784,-0.522513514,-0.709743243,-0.896972973,-1.084202703,-1.271432432,-1.458662162,-1.645891892,,,,,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/2/2020,2,0,,,,,0.029,0,,,,,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/2/2020,-0.335283784,-0.522513514,-0.709743243,-0.896972973,-1.084202703,-1.271432432,-1.458662162,-1.645891892,,,,,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/3/2020,8,6,,,,,0.118,0.088,,,,,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/3/2020,-1.604891892,-2.750756757,-3.896621622,-5.042486486,-6.188351351,-7.334216216,-8.480081081,-9.625945946,,,,,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/4/2020,8,0,,,,,0.118,0,,,,,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/4/2020,-1.340027027,-2.088810811,-2.837594595,-3.586378378,-4.335162162,-5.083945946,-5.83272973,-6.581513514,,,,,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/5/2020,9,1,1.286,,,0,0.133,0.015,0.019,,,0,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/5/2020,-2.253035,-2.779415,-3.305795,-3.832175,-4.358555,-4.884935,-5.411315,-5.937695,-6.464075,-6.990455,-7.516835,-8.043215,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/6/2020,9,0,1.286,,,0,0.133,0,0.019,,,0,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/6/2020,-2.10201,-2.58869,-3.07537,-3.56205,-4.04873,-4.53541,-5.02209,-5.50877,-5.99545,-6.48213,-6.96881,-7.45549,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/7/2020,9,0,1,,,0,0.133,0,0.015,,,0,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/7/2020,-2.07904,-2.55726,-3.03548,-3.5137,-3.99192,-4.47014,-4.94836,-5.42658,-5.9048,-6.38302,-6.86124,-7.33946,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/8/2020,13,4,1.571,,,0,0.191,0.059,0.023,,,0,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/8/2020,-3.61795,-4.4713,-5.32465,-6.178,-7.03135,-7.8847,-8.73805,-9.5914,-10.44475,-11.2981,-12.15145,-13.0048,,,,,,,,,,,0,,
GBR,Europe,United Kingdom,2/9/2020,14,1,1.714,,,0,0.206,0.015,0.025,,,0,,,,,,,,,,,,,,,,,,,,GBR,Europe,United Kingdom,2/9/2020,-3.39817,-4.18648,-4.97479,-5.7631,-6.55141,-7.33972,-8.12803,-8.91634,-9.70465,-10.49296,-11.28127,-12.06958,,,,,,,,,,,0,,
