areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,6/25/2021,153926
K02000001,United Kingdom,overview,6/24/2021,153916
K02000001,United Kingdom,overview,6/23/2021,153897
K02000001,United Kingdom,overview,6/22/2021,153891
K02000001,United Kingdom,overview,6/21/2021,153876
K02000001,United Kingdom,overview,6/20/2021,153864
K02000001,United Kingdom,overview,6/19/2021,153848
K02000001,United Kingdom,overview,6/18/2021,153831
K02000001,United Kingdom,overview,6/17/2021,153815
K02000001,United Kingdom,overview,6/16/2021,153807
K02000001,United Kingdom,overview,6/15/2021,153796
K02000001,United Kingdom,overview,6/14/2021,153776
K02000001,United Kingdom,overview,6/13/2021,153765
K02000001,United Kingdom,overview,6/12/2021,153753
K02000001,United Kingdom,overview,6/11/2021,153742
K02000001,United Kingdom,overview,6/10/2021,153729
K02000001,United Kingdom,overview,6/9/2021,153714
K02000001,United Kingdom,overview,6/8/2021,153698
K02000001,United Kingdom,overview,6/7/2021,153683
K02000001,United Kingdom,overview,6/6/2021,153677
K02000001,United Kingdom,overview,6/5/2021,153664
K02000001,United Kingdom,overview,6/4/2021,153658
K02000001,United Kingdom,overview,6/3/2021,153646
K02000001,United Kingdom,overview,6/2/2021,153631
K02000001,United Kingdom,overview,6/1/2021,153619
K02000001,United Kingdom,overview,5/31/2021,153609
K02000001,United Kingdom,overview,5/30/2021,153598
K02000001,United Kingdom,overview,5/29/2021,153590
K02000001,United Kingdom,overview,5/28/2021,153578
K02000001,United Kingdom,overview,5/27/2021,153565
K02000001,United Kingdom,overview,5/26/2021,153557
K02000001,United Kingdom,overview,5/25/2021,153543
K02000001,United Kingdom,overview,5/24/2021,153534
K02000001,United Kingdom,overview,5/23/2021,153518
K02000001,United Kingdom,overview,5/22/2021,153503
K02000001,United Kingdom,overview,5/21/2021,153499
K02000001,United Kingdom,overview,5/20/2021,153483
K02000001,United Kingdom,overview,5/19/2021,153477
K02000001,United Kingdom,overview,5/18/2021,153473
K02000001,United Kingdom,overview,5/17/2021,153464
K02000001,United Kingdom,overview,5/16/2021,153452
K02000001,United Kingdom,overview,5/15/2021,153439
K02000001,United Kingdom,overview,5/14/2021,153425
K02000001,United Kingdom,overview,5/13/2021,153411
K02000001,United Kingdom,overview,5/12/2021,153397
K02000001,United Kingdom,overview,5/11/2021,153382
K02000001,United Kingdom,overview,5/10/2021,153362
K02000001,United Kingdom,overview,5/9/2021,153354
K02000001,United Kingdom,overview,5/8/2021,153344
K02000001,United Kingdom,overview,5/7/2021,153324
K02000001,United Kingdom,overview,5/6/2021,153307
K02000001,United Kingdom,overview,5/5/2021,153290
K02000001,United Kingdom,overview,5/4/2021,153269
K02000001,United Kingdom,overview,5/3/2021,153254
K02000001,United Kingdom,overview,5/2/2021,153238
K02000001,United Kingdom,overview,5/1/2021,153220
K02000001,United Kingdom,overview,4/30/2021,153205
K02000001,United Kingdom,overview,4/29/2021,153189
K02000001,United Kingdom,overview,4/28/2021,153172
K02000001,United Kingdom,overview,4/27/2021,153151
K02000001,United Kingdom,overview,4/26/2021,153126
K02000001,United Kingdom,overview,4/25/2021,153107
K02000001,United Kingdom,overview,4/24/2021,153082
K02000001,United Kingdom,overview,4/23/2021,153058
K02000001,United Kingdom,overview,4/22/2021,153029
K02000001,United Kingdom,overview,4/21/2021,152996
K02000001,United Kingdom,overview,4/20/2021,152961
K02000001,United Kingdom,overview,4/19/2021,152928
K02000001,United Kingdom,overview,4/18/2021,152905
K02000001,United Kingdom,overview,4/17/2021,152875
K02000001,United Kingdom,overview,4/16/2021,152835
K02000001,United Kingdom,overview,4/15/2021,152805
K02000001,United Kingdom,overview,4/14/2021,152764
K02000001,United Kingdom,overview,4/13/2021,152731
K02000001,United Kingdom,overview,4/12/2021,152685
K02000001,United Kingdom,overview,4/11/2021,152649
K02000001,United Kingdom,overview,4/10/2021,152610
K02000001,United Kingdom,overview,4/9/2021,152567
K02000001,United Kingdom,overview,4/8/2021,152529
K02000001,United Kingdom,overview,4/7/2021,152469
K02000001,United Kingdom,overview,4/6/2021,152425
K02000001,United Kingdom,overview,4/5/2021,152380
K02000001,United Kingdom,overview,4/4/2021,152338
K02000001,United Kingdom,overview,4/3/2021,152288
K02000001,United Kingdom,overview,4/2/2021,152248
K02000001,United Kingdom,overview,4/1/2021,152198
K02000001,United Kingdom,overview,3/31/2021,152137
K02000001,United Kingdom,overview,3/30/2021,152063
K02000001,United Kingdom,overview,3/29/2021,152009
K02000001,United Kingdom,overview,3/28/2021,151941
K02000001,United Kingdom,overview,3/27/2021,151894
K02000001,United Kingdom,overview,3/26/2021,151832
K02000001,United Kingdom,overview,3/25/2021,151760
K02000001,United Kingdom,overview,3/24/2021,151685
K02000001,United Kingdom,overview,3/23/2021,151616
K02000001,United Kingdom,overview,3/22/2021,151524
K02000001,United Kingdom,overview,3/21/2021,151422
K02000001,United Kingdom,overview,3/20/2021,151299
K02000001,United Kingdom,overview,3/19/2021,151200
K02000001,United Kingdom,overview,3/18/2021,151099
K02000001,United Kingdom,overview,3/17/2021,151000
K02000001,United Kingdom,overview,3/16/2021,150875
K02000001,United Kingdom,overview,3/15/2021,150763
K02000001,United Kingdom,overview,3/14/2021,150629
K02000001,United Kingdom,overview,3/13/2021,150497
K02000001,United Kingdom,overview,3/12/2021,150363
K02000001,United Kingdom,overview,3/11/2021,150229
K02000001,United Kingdom,overview,3/10/2021,150061
K02000001,United Kingdom,overview,3/9/2021,149902
K02000001,United Kingdom,overview,3/8/2021,149717
K02000001,United Kingdom,overview,3/7/2021,149524
K02000001,United Kingdom,overview,3/6/2021,149330
K02000001,United Kingdom,overview,3/5/2021,149123
K02000001,United Kingdom,overview,3/4/2021,148905
K02000001,United Kingdom,overview,3/3/2021,148675
K02000001,United Kingdom,overview,3/2/2021,148462
K02000001,United Kingdom,overview,3/1/2021,148220
K02000001,United Kingdom,overview,2/28/2021,147931
K02000001,United Kingdom,overview,2/27/2021,147655
K02000001,United Kingdom,overview,2/26/2021,147352
K02000001,United Kingdom,overview,2/25/2021,147054
K02000001,United Kingdom,overview,2/24/2021,146710
K02000001,United Kingdom,overview,2/23/2021,146350
K02000001,United Kingdom,overview,2/22/2021,145975
K02000001,United Kingdom,overview,2/21/2021,145604
K02000001,United Kingdom,overview,2/20/2021,145195
K02000001,United Kingdom,overview,2/19/2021,144749
K02000001,United Kingdom,overview,2/18/2021,144287
K02000001,United Kingdom,overview,2/17/2021,143771
K02000001,United Kingdom,overview,2/16/2021,143270
K02000001,United Kingdom,overview,2/15/2021,142711
K02000001,United Kingdom,overview,2/14/2021,142103
K02000001,United Kingdom,overview,2/13/2021,141509
K02000001,United Kingdom,overview,2/12/2021,140930
K02000001,United Kingdom,overview,2/11/2021,140304
K02000001,United Kingdom,overview,2/10/2021,139641
K02000001,United Kingdom,overview,2/9/2021,138935
K02000001,United Kingdom,overview,2/8/2021,138217
K02000001,United Kingdom,overview,2/7/2021,137444
K02000001,United Kingdom,overview,2/6/2021,136697
K02000001,United Kingdom,overview,2/5/2021,135920
K02000001,United Kingdom,overview,2/4/2021,135052
K02000001,United Kingdom,overview,2/3/2021,134232
K02000001,United Kingdom,overview,2/2/2021,133269
K02000001,United Kingdom,overview,2/1/2021,132313
K02000001,United Kingdom,overview,1/31/2021,131313
K02000001,United Kingdom,overview,1/30/2021,130325
K02000001,United Kingdom,overview,1/29/2021,129309
K02000001,United Kingdom,overview,1/28/2021,128159
K02000001,United Kingdom,overview,1/27/2021,126940
K02000001,United Kingdom,overview,1/26/2021,125719
K02000001,United Kingdom,overview,1/25/2021,124559
K02000001,United Kingdom,overview,1/24/2021,123311
K02000001,United Kingdom,overview,1/23/2021,122081
K02000001,United Kingdom,overview,1/22/2021,120803
K02000001,United Kingdom,overview,1/21/2021,119477
K02000001,United Kingdom,overview,1/20/2021,118144
K02000001,United Kingdom,overview,1/19/2021,116769
K02000001,United Kingdom,overview,1/18/2021,115288
K02000001,United Kingdom,overview,1/17/2021,113894
K02000001,United Kingdom,overview,1/16/2021,112544
K02000001,United Kingdom,overview,1/15/2021,111133
K02000001,United Kingdom,overview,1/14/2021,109821
K02000001,United Kingdom,overview,1/13/2021,108492
K02000001,United Kingdom,overview,1/12/2021,107193
K02000001,United Kingdom,overview,1/11/2021,105883
K02000001,United Kingdom,overview,1/10/2021,104649
K02000001,United Kingdom,overview,1/9/2021,103486
K02000001,United Kingdom,overview,1/8/2021,102401
K02000001,United Kingdom,overview,1/7/2021,101353
K02000001,United Kingdom,overview,1/6/2021,100301
K02000001,United Kingdom,overview,1/5/2021,99291
K02000001,United Kingdom,overview,1/4/2021,98330
K02000001,United Kingdom,overview,1/3/2021,97439
K02000001,United Kingdom,overview,1/2/2021,96636
K02000001,United Kingdom,overview,1/1/2021,95807
K02000001,United Kingdom,overview,12/31/2020,94998
K02000001,United Kingdom,overview,12/30/2020,94174
K02000001,United Kingdom,overview,12/29/2020,93414
K02000001,United Kingdom,overview,12/28/2020,92701
K02000001,United Kingdom,overview,12/27/2020,91978
K02000001,United Kingdom,overview,12/26/2020,91260
K02000001,United Kingdom,overview,12/25/2020,90568
K02000001,United Kingdom,overview,12/24/2020,89913
